SAMPLE	TYPE	YEAR	COUNTRY	At_proportion	At_covered_proportion	At_average_depth	Ps_proportion	Ps_covered_proportion	Ps_average_depth	GROUP	SOURCE
PL0258	Plant tissue herbarium	1913	United Kingdom	49.90%	88.39%	6.42	1.15%	83.22%	2.75	nonATUE5	This study
PL0027	Plant tissue herbarium	1939	Sweden	48.30%	89.78%	8.85	0.33%	65.78%	1.27	ATUE5	This study
PL0042	Plant tissue herbarium	1982	Spain	28.20%	88.62%	8.49	15.37%	93.77%	76.14	ATUE5	This study
PL0046	Plant tissue herbarium	1974	Spain	49.00%	88.93%	12.17	4.31%	89.76%	19.52	ATUE5	This study
PL0051	Plant tissue herbarium	1983	Spain	1.50%	20.73%	0.26	4.89%	89.92%	18.44	ATUE5	This study
PL0053	Plant tissue herbarium	1987	Spain	7.70%	64.01%	1.3	2.68%	94.16%	11.72	ATUE5	This study
PL0065	Plant tissue herbarium	2015	Spain	39.90%	88.61%	12.35	0.21%	68.88%	1.35	ATUE5	This study
PL0066	Plant tissue herbarium	2015	Spain	43.40%	89.49%	14.32	0.32%	70.50%	1.61	nonATUE5	This study
PL0068	Plant tissue herbarium	1986	Spain	17.20%	89.28%	8.43	1.04%	91.81%	12.58	ATUE5	This study
PL0080	Plant tissue herbarium	1985	Spain	1.90%	39.76%	0.58	4.23%	94.48%	29.67	ATUE5	This study
PL0127	Plant tissue herbarium	1979	Spain	9.10%	45.22%	0.68	4.61%	93.15%	8.63	ATUE5	This study
PL0137	Plant tissue herbarium	1961	Sweden	1.30%	1.89%	0.02	36.32%	89.29%	16.67	ATUE5	This study
27.ESP_1975	Plant tissue herbarium	1975	Spain	5.50%	7.22%	0.64	0.76%	75.00%	1.71	ATUE5	(Lopez et al., 2025)
30.ESP_1983b	Plant tissue herbarium	1983	Spain	4.70%	47.14%	0.81	0.54%	75.39%	1.74	ATUE5	(Lopez et al., 2025)
33.ESP_1985b	Plant tissue herbarium	1985	Spain	0.80%	13.26%	0.16	8.86%	91.39%	31.62	ATUE5	(Lopez et al., 2025)
34.ESP_1985c_S36	Plant tissue herbarium	1985	Spain	22.30%	81.36%	2.4	19.98%	89.98%	41.23	ATUE5	(Lopez et al., 2025)
64.GBR_1933b_S36	Plant tissue herbarium	1933	UK	39.50%	74.18%	1.95	5.71%	86.42%	5.51	ATUE5	(Lopez et al., 2025)
75.LTU_1894_S30	Plant tissue herbarium	1894	Lithuania	40.20%	87.96%	3.56	3.67%	90.64%	6.43	ATUE5	(Lopez et al., 2025)
76.LTU_2009_S19	Plant tissue herbarium	2009	Lithuania	0.20%	3.36%	0.04	26.02%	89.20%	65.73	ATUE5	(Lopez et al., 2025)
86.NOR_1911_S7	Plant tissue herbarium	1911	Norway	31.60%	83.44%	3.75	0.60%	67.85%	1.35	ATUE5	(Lopez et al., 2025)
109.NOR_1990	Plant tissue herbarium	1990	Norway	4.80%	30.04%	0.42	11.96%	91.97%	26.84	ATUE5	(Lopez et al., 2025)
120.RUS_1860	Plant tissue herbarium	1860	Russia	35.70%	70.54%	1.75	5.96%	89.46%	5.59	ATUE5	(Lopez et al., 2025)
HB0737	Plant tissue herbarium	1937	Germany	40.80%	88.15%	4.52	3.95%	90.08%	9.5	ATUE5	(Lang et al., 2024)
HB0766	Plant tissue herbarium	1846	Germany	48.90%	88.31%	5.87	2.85%	88.03%	8.16	ATUE5	(Lang et al., 2024)
HB0808	Plant tissue herbarium	1817	Germany	55.10%	88.06%	5.33	0.56%	59.81%	1.06	ATUE5	(Lang et al., 2024)
HB0814	Plant tissue herbarium	1882	Germany	19.20%	88.51%	5.05	1.82%	93.44%	8.98	ATUE5	(Lang et al., 2024)
HB0828	Plant tissue herbarium	1890	Germany	39.10%	89.47%	6.34	0.52%	73.53%	1.74	nonATUE5	(Lang et al., 2024)
HB0840	Plant tissue herbarium	1851	Germany	49.70%	89.45%	6.09	0.73%	76.28%	1.78	ATUE5	(Lang et al., 2024)
