pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
65	971	C.T	65	198086	C	0.0049019112910554	65	PL0053_mapped_At_q20.sorted.mapDamage
66	898	C.T	66	192209	C	0.00467199766920384	66	PL0053_mapped_At_q20.sorted.mapDamage
67	924	C.T	67	186617	C	0.00495131740409502	67	PL0053_mapped_At_q20.sorted.mapDamage
68	939	C.T	68	180253	C	0.00520934464336239	68	PL0053_mapped_At_q20.sorted.mapDamage
69	845	C.T	69	175734	C	0.00480840361000148	69	PL0053_mapped_At_q20.sorted.mapDamage
70	865	C.T	70	169498	C	0.00510330505374695	70	PL0053_mapped_At_q20.sorted.mapDamage
1	50644	C.T	1	3890992	C	0.0130157039644389	1	PL0059_mapped_At_q20.sorted.mapDamage
2	42515	C.T	2	3499991	C	0.0121471740927334	2	PL0059_mapped_At_q20.sorted.mapDamage
3	29525	C.T	3	3886000	C	0.00759778692743181	3	PL0059_mapped_At_q20.sorted.mapDamage
4	25792	C.T	4	3761799	C	0.00685629402315222	4	PL0059_mapped_At_q20.sorted.mapDamage
5	23806	C.T	5	3685359	C	0.00645961492489605	5	PL0059_mapped_At_q20.sorted.mapDamage
6	23217	C.T	6	3350439	C	0.00692953968121789	6	PL0059_mapped_At_q20.sorted.mapDamage
7	22110	C.T	7	3518415	C	0.00628407962107938	7	PL0059_mapped_At_q20.sorted.mapDamage
8	21635	C.T	8	3466082	C	0.00624191810811169	8	PL0059_mapped_At_q20.sorted.mapDamage
9	20980	C.T	9	3478492	C	0.00603134921684454	9	PL0059_mapped_At_q20.sorted.mapDamage
10	20972	C.T	10	3568718	C	0.00587662011960598	10	PL0059_mapped_At_q20.sorted.mapDamage
11	20843	C.T	11	3590350	C	0.00580528360744774	11	PL0059_mapped_At_q20.sorted.mapDamage
12	20324	C.T	12	3541484	C	0.00573883716543686	12	PL0059_mapped_At_q20.sorted.mapDamage
13	20412	C.T	13	3570759	C	0.00571643171661823	13	PL0059_mapped_At_q20.sorted.mapDamage
14	20215	C.T	14	3587545	C	0.00563477252550142	14	PL0059_mapped_At_q20.sorted.mapDamage
15	20381	C.T	15	3566812	C	0.00571406623057229	15	PL0059_mapped_At_q20.sorted.mapDamage
16	20016	C.T	16	3596060	C	0.00556609177822394	16	PL0059_mapped_At_q20.sorted.mapDamage
17	19908	C.T	17	3607701	C	0.00551819565978444	17	PL0059_mapped_At_q20.sorted.mapDamage
18	19760	C.T	18	3568336	C	0.00553759511436143	18	PL0059_mapped_At_q20.sorted.mapDamage
19	19223	C.T	19	3566704	C	0.00538956975403622	19	PL0059_mapped_At_q20.sorted.mapDamage
20	19249	C.T	20	3544023	C	0.00543139815966206	20	PL0059_mapped_At_q20.sorted.mapDamage
21	18786	C.T	21	3476255	C	0.00540409147200076	21	PL0059_mapped_At_q20.sorted.mapDamage
22	18701	C.T	22	3460873	C	0.00540354991356227	22	PL0059_mapped_At_q20.sorted.mapDamage
23	18920	C.T	23	3433353	C	0.00551064804580246	23	PL0059_mapped_At_q20.sorted.mapDamage
24	18683	C.T	24	3371508	C	0.00554143724410561	24	PL0059_mapped_At_q20.sorted.mapDamage
25	18769	C.T	25	3361910	C	0.00558283832702244	25	PL0059_mapped_At_q20.sorted.mapDamage
26	18763	C.T	26	3340138	C	0.00561743257314518	26	PL0059_mapped_At_q20.sorted.mapDamage
27	18546	C.T	27	3284311	C	0.00564684647708454	27	PL0059_mapped_At_q20.sorted.mapDamage
28	18671	C.T	28	3257945	C	0.00573091319835049	28	PL0059_mapped_At_q20.sorted.mapDamage
29	18584	C.T	29	3231684	C	0.00575056224556609	29	PL0059_mapped_At_q20.sorted.mapDamage
30	18613	C.T	30	3153286	C	0.00590273130949746	30	PL0059_mapped_At_q20.sorted.mapDamage
31	18312	C.T	31	3116753	C	0.00587534527118447	31	PL0059_mapped_At_q20.sorted.mapDamage
32	18082	C.T	32	3056766	C	0.00591540209489375	32	PL0059_mapped_At_q20.sorted.mapDamage
33	17860	C.T	33	2964146	C	0.00602534423068229	33	PL0059_mapped_At_q20.sorted.mapDamage
34	17206	C.T	34	2900654	C	0.00593176573283129	34	PL0059_mapped_At_q20.sorted.mapDamage
35	17234	C.T	35	2839980	C	0.00606835259403235	35	PL0059_mapped_At_q20.sorted.mapDamage
