Iteration	Plus_Modern	Minus_Modern	Binomial_p	Fisher_p
367	6	2	0.2890625	0.131934731934732
368	8	0	0.0078125	0.00699300699300699
369	8	0	0.0078125	0.00699300699300699
370	7	1	0.0703125	0.0405594405594406
371	7	1	0.0703125	0.0405594405594406
372	8	0	0.0078125	0.00699300699300699
373	8	0	0.0078125	0.00699300699300699
374	7	1	0.0703125	0.0405594405594406
375	8	0	0.0078125	0.00699300699300699
376	7	1	0.0703125	0.0405594405594406
377	7	1	0.0703125	0.0405594405594406
378	7	1	0.0703125	0.0405594405594406
379	7	1	0.0703125	0.0405594405594406
380	8	0	0.0078125	0.00699300699300699
381	6	2	0.2890625	0.131934731934732
382	6	2	0.2890625	0.131934731934732
383	6	2	0.2890625	0.131934731934732
384	5	3	0.7265625	0.314685314685315
385	6	2	0.2890625	0.131934731934732
386	8	0	0.0078125	0.00699300699300699
387	7	1	0.0703125	0.0405594405594406
388	7	1	0.0703125	0.0405594405594406
389	7	1	0.0703125	0.0405594405594406
390	7	1	0.0703125	0.0405594405594406
391	8	0	0.0078125	0.00699300699300699
392	6	2	0.2890625	0.131934731934732
393	6	2	0.2890625	0.131934731934732
394	5	3	0.7265625	0.314685314685315
395	8	0	0.0078125	0.00699300699300699
396	7	1	0.0703125	0.0405594405594406
397	7	1	0.0703125	0.0405594405594406
398	5	3	0.7265625	0.314685314685315
399	6	2	0.2890625	0.131934731934732
400	8	0	0.0078125	0.00699300699300699
401	7	1	0.0703125	0.0405594405594406
402	8	0	0.0078125	0.00699300699300699
403	8	0	0.0078125	0.00699300699300699
404	7	1	0.0703125	0.0405594405594406
405	6	2	0.2890625	0.131934731934732
406	7	1	0.0703125	0.0405594405594406
407	6	2	0.2890625	0.131934731934732
408	7	1	0.0703125	0.0405594405594406
409	7	1	0.0703125	0.0405594405594406
410	8	0	0.0078125	0.00699300699300699
411	8	0	0.0078125	0.00699300699300699
412	6	2	0.2890625	0.131934731934732
413	6	2	0.2890625	0.131934731934732
414	5	3	0.7265625	0.314685314685315
415	7	1	0.0703125	0.0405594405594406
416	8	0	0.0078125	0.00699300699300699
417	6	2	0.2890625	0.131934731934732
418	6	2	0.2890625	0.131934731934732
419	7	1	0.0703125	0.0405594405594406
420	7	1	0.0703125	0.0405594405594406
421	8	0	0.0078125	0.00699300699300699
422	7	1	0.0703125	0.0405594405594406
423	7	1	0.0703125	0.0405594405594406
424	6	2	0.2890625	0.131934731934732
425	7	1	0.0703125	0.0405594405594406
426	8	0	0.0078125	0.00699300699300699
427	7	1	0.0703125	0.0405594405594406
428	5	3	0.7265625	0.314685314685315
429	8	0	0.0078125	0.00699300699300699
430	7	1	0.0703125	0.0405594405594406
431	6	2	0.2890625	0.131934731934732
432	7	1	0.0703125	0.0405594405594406
433	8	0	0.0078125	0.00699300699300699
434	8	0	0.0078125	0.00699300699300699
435	8	0	0.0078125	0.00699300699300699
436	6	2	0.2890625	0.131934731934732
437	7	1	0.0703125	0.0405594405594406
438	7	1	0.0703125	0.0405594405594406
439	8	0	0.0078125	0.00699300699300699
440	5	3	0.7265625	0.314685314685315
441	7	1	0.0703125	0.0405594405594406
442	8	0	0.0078125	0.00699300699300699
443	6	2	0.2890625	0.131934731934732
444	7	1	0.0703125	0.0405594405594406
445	8	0	0.0078125	0.00699300699300699
446	5	3	0.7265625	0.314685314685315
447	6	2	0.2890625	0.131934731934732
448	6	2	0.2890625	0.131934731934732
449	7	1	0.0703125	0.0405594405594406
450	5	3	0.7265625	0.314685314685315
451	6	2	0.2890625	0.131934731934732
452	7	1	0.0703125	0.0405594405594406
453	8	0	0.0078125	0.00699300699300699
454	7	1	0.0703125	0.0405594405594406
455	8	0	0.0078125	0.00699300699300699
456	6	2	0.2890625	0.131934731934732
457	7	1	0.0703125	0.0405594405594406
458	6	2	0.2890625	0.131934731934732
459	8	0	0.0078125	0.00699300699300699
460	7	1	0.0703125	0.0405594405594406
461	7	1	0.0703125	0.0405594405594406
462	6	2	0.2890625	0.131934731934732
463	7	1	0.0703125	0.0405594405594406
464	7	1	0.0703125	0.0405594405594406
465	7	1	0.0703125	0.0405594405594406
466	6	2	0.2890625	0.131934731934732
467	7	1	0.0703125	0.0405594405594406
468	6	2	0.2890625	0.131934731934732
469	5	3	0.7265625	0.314685314685315
470	8	0	0.0078125	0.00699300699300699
471	6	2	0.2890625	0.131934731934732
472	6	2	0.2890625	0.131934731934732
473	8	0	0.0078125	0.00699300699300699
474	7	1	0.0703125	0.0405594405594406
475	8	0	0.0078125	0.00699300699300699
476	8	0	0.0078125	0.00699300699300699
