pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
27	16881	C.T	27	2187203	C	0.00771807646569614	27	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
28	16584	C.T	28	2220844	C	0.00746743130089281	28	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
29	18990	C.T	29	2290424	C	0.00829104130938202	29	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
30	16619	C.T	30	2162193	C	0.00768617787588805	30	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
31	16465	C.T	31	2193328	C	0.00750685715953109	31	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
32	18580	C.T	32	2265917	C	0.00819977077712908	32	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
33	16602	C.T	33	2137632	C	0.00776653792607895	33	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
34	15796	C.T	34	2159588	C	0.00731435810904673	34	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
35	18522	C.T	35	2226261	C	0.00831977921726159	35	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
36	16310	C.T	36	2104502	C	0.00775005203131192	36	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
37	15823	C.T	37	2124910	C	0.00744643302539872	37	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
38	18534	C.T	38	2187073	C	0.00847433990543526	38	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
39	16253	C.T	39	2057320	C	0.00790008360391189	39	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
40	15872	C.T	40	2074079	C	0.00765255325375745	40	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
41	17425	C.T	41	2132313	C	0.00817187720564476	41	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
42	15467	C.T	42	2004249	C	0.00771710501040539	42	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
43	15008	C.T	43	2016678	C	0.00744194164859239	43	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
44	17245	C.T	44	2075150	C	0.00831024263306267	44	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
45	15299	C.T	45	1952511	C	0.00783555124657428	45	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
46	14577	C.T	46	1957946	C	0.00744504700333921	46	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
47	16592	C.T	47	2018682	C	0.00821922422650026	47	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
48	14433	C.T	48	1888466	C	0.00764271106813678	48	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
49	14252	C.T	49	1898067	C	0.00750869173743603	49	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
50	15784	C.T	50	1948628	C	0.0081000580921551	50	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
51	14252	C.T	51	1828451	C	0.0077945758458936	51	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
52	13508	C.T	52	1833853	C	0.00736591209873419	52	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
53	15794	C.T	53	1878691	C	0.00840691736959404	53	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
54	13456	C.T	54	1760366	C	0.0076438649689894	54	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
55	12940	C.T	55	1769749	C	0.00731177133028469	55	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
56	15129	C.T	56	1812712	C	0.00834605828173477	56	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
57	13264	C.T	57	1698530	C	0.0078091055206561	57	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
58	12933	C.T	58	1702089	C	0.00759831007661762	58	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
59	14409	C.T	59	1740417	C	0.00827905036551585	59	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
60	12674	C.T	60	1634451	C	0.00775428568981266	60	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
61	12264	C.T	61	1638147	C	0.00748650762111093	61	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
62	13930	C.T	62	1676501	C	0.00830897207934859	62	PL0042.mapped_to_Pseudomonas.dd.q20.mapDamage
