Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	PropNorm	IsolateType	LengthGroup	OAntigenStatus	Year	Yjitter
PL0042	HTF_p25.A12	777	339	0.786542923433875	Historical	1383	HTF group without O-antigen	1982	0.812389509519562
PL0046	HTF_p21.F9	746	218	0.844961240310077	Historical	1245	HTF group with O-antigen	1974	0.794342321110889
PL0051	HTF_p25.A12	777	314	0.839572192513369	Historical	1383	HTF group without O-antigen	1983	0.439831687603146
PL0059	HTF_p23.B8	31	31	0.939393939393939	Historical	1803	HTF group with O-antigen	1985	0.754475158639252
PL0068	HTF_p23.B8	31	14	0.933333333333333	Historical	1803	HTF group with O-antigen	1986	0.629221131559461
PL0073	HTF_p7.G11	1063	97	0.923809523809524	Historical	1830	HTF group without O-antigen	1991	0.710182401351631
PL0080	HTF_p25.A12	777	449	0.949260042283298	Historical	1383	HTF group without O-antigen	1985	0.000624773325398564
PL0102	HTF_p25.A12	777	352	0.777041942604856	Historical	1383	HTF group without O-antigen	1888	0.475316574098542
PL0127	HTF_p7.G11	1063	508	0.942486085343228	Historical	1830	HTF group without O-antigen	1979	0.220118885161355
PL0131	HTF_p5.D5	993	445	0.90080971659919	Historical	1803	HTF group with O-antigen	1980	0.379816537722945
PL0137	HTF_p26.D6	15	2	1	Historical	1803	HTF group with O-antigen	1961	0.612771003274247
PL0139	HTF_p21.F9	746	97	1	Historical	1245	HTF group with O-antigen	1996	0.351797909243032
PL0185	HTF_p25.A12	777	236	0.955465587044534	Historical	1383	HTF group without O-antigen	1994	0.111135424347594
PL0210	HTF_p7.G11	1063	496	1	Historical	1830	HTF group without O-antigen	1838	0.243619472719729
PL0220	HTF_p25.A12	777	282	0.798866855524079	Historical	1383	HTF group without O-antigen	1946	0.66805558744818
PL0222	HTF_p7.G11	1063	29	1	Historical	1830	HTF group without O-antigen	1887	0.417646779678762
PL0224	HTF_p21.F9	746	223	0.70125786163522	Historical	1245	HTF group with O-antigen	1889	0.788195834029466
PL0230	HTF_p7.G11	1063	149	0.823204419889503	Historical	1830	HTF group without O-antigen	1851	0.102864644257352
PL0235	HTF_p21.F9	746	216	0.9	Historical	1245	HTF group with O-antigen	1905	0.434892741497606
PL0240	HTF_p21.F9	746	564	1	Historical	1245	HTF group with O-antigen	1875	0.984956979984418
