samplename	At_percent	At_covered	At_depth	Ps_percent	Ps_covered	Ps_depth	group	type	source	year	country	At_cov_markdup	At_depth_markdup	Ps_cov_markdup	Ps_depth_markdup
PL0240	0.667	0.88965	11.0522	0.06142	0.85095	8.49216	ATUE5	Plant tissue herbarium	PL	1875	United Kingdom	0.889652	7.57326	0.850866	7.45621
PL0027	0.483	0.89786	10.5883	0.00652	0.66198	1.42203	ATUE5	Plant tissue herbarium	PL	1939	Sweden	0.897858	8.84702	0.661964	1.28372
PL0042	0.282	0.88618	10.1202	0.21576	0.94257	127.974	ATUE5	Plant tissue herbarium	PL	1982	Spain	0.886184	8.48786	0.942482	76.6242
PL0046	0.49	0.88927	15.5592	0.08517	0.90175	24.0336	ATUE5	Plant tissue herbarium	PL	1974	Spain	0.889267	12.1704	0.901586	19.6711
PL0051	0.015	0.20731	0.28096	0.05023	0.90405	23.276	ATUE5	Plant tissue herbarium	PL	1983	Spain	0.20731	0.260978	0.90387	18.5792
PL0053	0.077	0.64015	1.48009	0.02937	0.94623	13.6448	ATUE5	Plant tissue herbarium	PL	1987	Spain	0.64015	1.30365	0.946089	11.8482
PL0065	0.399	0.88608	16.628	0.0035	0.69267	1.53741	ATUE5	Plant tissue herbarium	PL	2015	Spain	0.886081	12.3463	0.69257	1.37152
PL0068	0.172	0.8928	10.8585	0.01276	0.92306	14.9394	ATUE5	Plant tissue herbarium	PL	1986	Spain	0.892806	8.42695	0.922904	12.7222
PL0080	0.019	0.39764	0.652761	0.04355	0.94949	36.6779	ATUE5	Plant tissue herbarium	PL	1985	Spain	0.397642	0.582335	0.949344	29.9207
PL0127	0.091	0.45217	0.746882	0.05133	0.9365	10.0511	ATUE5	Plant tissue herbarium	PL	1979	Spain	0.452178	0.678258	0.936327	8.71953
PL0137	0.013	0.01886	0.0213945	0.37113	0.8979	20.1951	ATUE5	Plant tissue herbarium	PL	1961	Sweden	0.018869	0.0200714	0.897737	16.8099
27.ESP_1975	0.055	0.07222	0.657734	0.00768	0.7237	1.65807	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1975	Spain	0.0691718	0.583975	0.704073	1.50857
30.ESP_1983b	0.047	0.47138	0.816751	0.00534	0.73098	1.68837	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1983	Spain	0.44906	0.753457	0.704352	1.49611
33.ESP_1985b	0.008	0.07016	0.163393	0.07954	0.89694	29.3574	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1985	Spain	0.063491	0.143361	0.896327	10.5273
34.ESP_1985c_S36	0.211	0.61018	2.25377	0.21689	0.87148	36.7151	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1985	Spain	0.542012	1.81344	0.870383	13.2233
64.GBR_1933b_S36	0.396	0.74176	1.97367	0.09096	0.84695	5.42331	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1933	UK	0.727762	1.85714	0.843602	4.84464
75.LTU_1894_S30	0.402	0.87962	3.58278	0.05704	0.88642	6.10635	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1894	Lithuania	0.860862	3.10797	0.880468	5.15566
76.LTU_2009_S19	0.002	0.03358	0.0372458	0.24224	0.87154	62.2338	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	2009	Lithuania	0.0324187	0.035727	0.871785	43.4261
86.NOR_1911_S7	0.316	0.83445	3.77505	0.00842	0.65671	1.32199	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1911	Norway	0.82644	3.52102	0.632328	1.19619
109.NOR_1990	0.048	0.30044	0.423214	0.11982	0.91325	25.9351	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1990	Norway	0.298828	0.41985	0.91254	21.2222
120.RUS_1860	0.181	0.70538	1.77285	0.03585	0.87691	5.51044	ATUE5	Plant tissue herbarium	(Lopez et al., 2022)	1860	Russia	0.676137	1.57914	0.874103	4.87913
HB0737	0.408	0.88147	5.22799	0.0674	0.90577	11.2645	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1937	Germany	0.881474	4.5237	0.905585	9.59377
HB0766	0.489	0.88307	6.98054	0.05669	0.88517	9.20669	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1846	Germany	0.883069	5.87102	0.885096	8.274
HB0814	0.192	0.88508	5.74871	0.02283	0.9396	10.4923	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1882	Germany	0.885082	5.04505	0.93942	9.06438
HB0840	0.497	0.89447	7.25678	0.01476	0.76725	1.98138	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1851	Germany	0.894477	6.0891	0.76702	1.80811
HB0841	0.494	0.89208	6.64603	0.0142	0.73621	1.75237	ATUE5	Plant tissue herbarium	(Latorre et al., 2022)	1875	Germany	0.892077	5.67523	0.736065	1.62028
