sample	tailocin_cov_prop	tailocin_depth	HTF_haplotype_bykmer	HTF_haplotype_bylocalassembly	HTFgroup_Oantigen_PA	wfgD_PA	rmlC1_PA	tagG1_PA	tagH1_PA	spsA_PA	espE2_PA	espE2length
p8.C7	0.9228	55.88	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p8.E4	0.8831	38.29	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	1	0	0	0	0	0	0
p8.H7	0.8531	34.34	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0
PL0001	0.8597	5.43	HTF_p21.F9 (1245)	NA	OBC_present	1	1	1	1	1	1	4740
PL0026	0.7393	1.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PL0027	0.6776	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PL0042	0.9143	129.4	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
PL0046	0.8443	21.75	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
PL0051	0.8838	22.82	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
PL0053	0.8537	12.63	NA	HTF_p7.G11 (1830)	NA	NA	NA	NA	NA	NA	NA	NA
PL0059	0.9147	479.21	HTF_p23.B8 (1803)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4827
PL0065	0.6797	1.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PL0068	0.898	15.6	HTF_p23.B8 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
PL0073	0.7858	3.04	HTF_p7.G11 (1830)	NA	OBC_absent	0	0	0	0	0	0	0
PL0080	0.8855	32.48	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
PL0102	0.8961	49.36	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
PL0127	0.8628	8.99	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0
PL0131	0.889	82.23	HTF_p5.D5 (1803)	HTF_p5.D5 (1803)	OBC_present	1	1	1	1	1	1	4665
PL0137	0.8728	19.62	HTF_p26.D6 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
PL0139	0.7462	1.86	HTF_p21.F9 (1245)	NA	OBC_present	1	1	0	1	1	NA	NA
PL0185	0.8085	2.98	HTF_p25.A12 (1383)	NA	OBC_absent	0	0	0	0	0	0	0
PL0210	0.7923	11.39	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0
PL0220	0.8223	22.83	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
PL0222	0.5488	1.1	HTF_p7.G11 (1830)	NA	OBC_absent	0	0	0	0	0	0	0
PL0224	0.8521	8.25	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
PL0230	0.7415	2.11	HTF_p7.G11 (1830)	NA	OBC_absent	1	0	0	0	0	0	0
PL0235	0.8685	10.34	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	NA
PL0240	0.8329	9	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	0	0	0	0	0	0	0
