SAMPLE	TYPE	YEAR	COUNTRY	At_percent	At_covered	At_depth	Ps_percent	Ps_covered	Ps_depth	source
PL0066	Plant tissue herbarium	2015	Spain	0.434	0.89489	14.3206	0.00332	0.70924	1.65661	This study
PL0068	Plant tissue herbarium	1986	Spain	0.172	0.89279	8.42692	0.01056	0.92308	12.7234	This study
PL0080	Plant tissue herbarium	1985	Spain	0.019	0.39764	0.582327	0.04269	0.9495	29.9258	This study
PL0127	Plant tissue herbarium	1979	Spain	0.091	0.45217	0.678272	0.04663	0.93646	8.72049	This study
PL0137	Plant tissue herbarium	1961	Sweden	0.013	0.01886	0.0200638	0.36614	0.8979	16.8135	This study
27.ESP_1975	Plant tissue herbarium	1975	Spain	0.055	0.07223	0.644721	0.00761	0.75419	1.72986	(Lopez et al., 2025)
30.ESP_1983b	Plant tissue herbarium	1983	Spain	0.047	0.47139	0.810803	0.00543	0.75831	1.76362	(Lopez et al., 2025)
33.ESP_1985b	Plant tissue herbarium	1985	Spain	0.008	0.13258	0.162315	0.08934	0.91867	31.9501	(Lopez et al., 2025)
34.ESP_1985c_S36	Plant tissue herbarium	1985	Spain	0.223	0.81357	2.40227	0.20132	0.90391	41.6305	(Lopez et al., 2025)
64.GBR_1933b_S36	Plant tissue herbarium	1933	UK	0.395	0.74176	1.95415	0.0576	0.86925	5.57542	(Lopez et al., 2025)
75.LTU_1894_S30	Plant tissue herbarium	1894	Lithuania	0.402	0.87962	3.5555	0.03707	0.91125	6.51603	(Lopez et al., 2025)
76.LTU_2009_S19	Plant tissue herbarium	2009	Lithuania	0.002	0.03358	0.0372057	0.262	0.89585	66.3394	(Lopez et al., 2025)
86.NOR_1911_S7	Plant tissue herbarium	1911	Norway	0.316	0.83444	3.74597	0.00605	0.6829	1.3712	(Lopez et al., 2025)
109.NOR_1990	Plant tissue herbarium	1990	Norway	0.048	0.30045	0.423004	0.12074	0.92427	27.1504	(Lopez et al., 2025)
120.RUS_1860	Plant tissue herbarium	1860	Russia	0.357	0.70539	1.75018	0.0604	0.8996	5.68179	(Lopez et al., 2025)
HB0737	Plant tissue herbarium	1937	Germany	0.408	0.88147	4.5237	0.03988	0.90577	9.59604	(Lang et al., 2024)
HB0766	Plant tissue herbarium	1846	Germany	0.489	0.88306	5.87102	0.02892	0.88517	8.27495	(Lang et al., 2024)
HB0808	Plant tissue herbarium	1817	Germany	0.551	0.88061	5.32631	0.00568	0.60175	1.06792	(Lang et al., 2024)
HB0814	Plant tissue herbarium	1882	Germany	0.192	0.88508	5.04505	0.01842	0.9396	9.06626	(Lang et al., 2024)
HB0828	Plant tissue herbarium	1890	Germany	0.391	0.89472	6.34349	0.00533	0.73931	1.79062	(Lang et al., 2024)
HB0840	Plant tissue herbarium	1851	Germany	0.497	0.89447	6.0891	0.00742	0.76725	1.8086	(Lang et al., 2024)
HB0841	Plant tissue herbarium	1875	Germany	0.494	0.89207	5.67523	0.00718	0.73621	1.6205	(Lang et al., 2024)
HB0863	Plant tissue herbarium	1954	Somalia	0.232	0.76878	3.05277	0.00545	0.65409	1.55683	(Lang et al., 2024)
